ID,NG,EG,H,g,X,Y,Hnorm,Z,TCR
5118.0,369383.660034,337852.443571,144.0,981135.8685249286,369500.0,337900.0,143.038,2.025,1.2880054634703758e-08
5119.0,376361.455716,336657.226206,138.0,981121.4669193088,376300.0,336500.0,140.949,2.002,1.2989291594018566e-08
5120.0,372336.947753,340672.732671,142.10147693178624,981130.486896052,372300.0,340500.0,142.087,2.008,1.2990942046123249e-08
5121.0,370985.76068,342486.752699,138.61996626552954,981134.4978375302,371050.0,342500.0,138.705,2.007,9.751003919378122e-09
5122.0,372491.83782700007,345150.37231599994,128.0,981135.3301598504,372800.0,345000.0,130.629,1.994,9.813904656557082e-09
5123.0,368154.882832,343547.609667,135.0,981140.4300824264,368300.0,343500.0,135.985,2.015,1.2969358025141265e-08
5124.0,371955.102834,346991.506992,125.0,981138.5532444026,371800.0,347000.0,125.326,1.993,9.831316553744719e-09
5125.0,368642.932456,345309.84596,135.0,981140.5118643777,368800.0,345000.0,134.968,2.009,9.75780184383743e-09
5126.0,365432.465474,342596.747451,133.81109647085032,981144.8864317267,365300.0,342500.0,134.965,2.028,1.289429129916306e-08
5136.0,359750.3760359999,350383.805759,129.6150907057411,981156.713726942,359800.0,350000.0,128.302,2.024,9.701364989338915e-09
5137.0,361103.628525,352842.70763,133.64396873713122,981155.190809514,360800.0,353000.0,130.98,2.01,9.758853840960647e-09
5138.0,357491.315356,347199.370082,130.8024391121524,981157.2946368684,358300.0,347000.0,130.816,2.038,3.2091090291446947e-09
5144.0,363288.572343,346350.337523,128.07181928412294,981150.2471946386,363300.0,346500.0,129.766,2.023,1.293029551952833e-08
5145.0,364535.380407,348386.896154,134.2397521886146,981149.2961032104,364700.0,348300.0,132.831,2.014,1.2994602988539817e-08
5146.0,369211.12916600006,348304.847799,128.61347823447431,981142.7676604444,369300.0,348250.0,128.743,1.998,9.811129061022584e-09
5147.0,370296.507379,347571.239966,128.43205480494703,981140.7001527144,370300.0,347500.0,126.837,1.996,1.3089183847410215e-08
5148.0,366452.62208,344466.327266,132.0,981144.2130804872,366300.0,344500.0,132.741,2.019,1.2952180447209362e-08
5149.0,363976.470437,344769.472768,131.85580379183557,981148.9340175572,363800.0,345000.0,132.634,2.026,9.682905587193856e-09
5150.0,365500.505794,345335.329771,130.80441393225374,981146.0823324282,365700.0,345300.0,130.859,2.019,1.295398714024216e-08
5151.0,368327.965119,348173.106042,131.0,981143.480604444,368500.0,348100.0,131.028,2.001,1.3063872480085773e-08
5152.0,369453.301148,348108.222853,128.47785125817344,981142.2160837617,369800.0,348000.0,127.534,1.997,9.81395213624854e-09
5153.0,371013.93746,351401.917579,128.76587100173006,981144.7362600418,370900.0,351300.0,122.089,1.983,1.3176095420161324e-08
5154.0,366127.974784,347336.59839,129.00738226760416,981146.0570004472,366133.333,347333.333,130.888,2.012,1.6254798507417887e-08
5155.0,357733.651699,340287.060049,136.9363916879738,981155.4298160748,358300.0,340000.0,137.091,2.06,3.175334040164608e-09
5156.0,358496.01168899995,341974.641375,133.0042082814689,981154.4086752508,358800.0,342000.0,135.115,2.052,9.563142169981252e-09
5158.0,358268.171092,339452.374254,138.67476833643013,981155.3376813472,358550.0,339500.0,136.763,2.06,9.52308947207633e-09
5159.0,361668.271633,342220.508881,134.28367163646362,981150.0724003384,361800.0,342000.0,135.473,2.042,9.610305043744607e-09
5160.0,357814.008849,340906.115487,134.5362304366081,981155.6043499422,358300.0,341000.0,133.86,2.056,3.1792858947700497e-09
5161.0,362542.478973,346195.856905,132.09913159706724,981151.6788126146,362800.0,346000.0,131.25,2.027,9.683051620587695e-09
5163.0,358234.167271,346911.37007599993,131.35158130476702,981156.7615095776,358633.333,346833.333,130.211,2.038,6.42246806062258e-09
5165.0,359793.071317,344441.601682,129.34899111094273,981154.0082543242,359800.0,344500.0,130.584,2.041,1.6028962209418323e-08
5166.0,360558.190801,348072.436906,128.34377647837434,981155.0007396152,360800.0,348000.0,127.459,2.027,9.682460626225046e-09
5167.0,360864.719796,345280.335358,131.65540448762476,981153.71401477,360800.0,345000.0,130.423,2.036,9.642138406028733e-09
5168.0,363016.424045,348014.54205,130.25200203454904,981151.3787488296,362800.0,348000.0,128.25,2.021,9.714931622593748e-09
5169.0,358753.244577,346849.038046,130.0,981156.5812400487,358800.0,347000.0,130.158,2.037,9.638061784832158e-09
5170.0,361165.946394,348572.70322500006,128.04437563507418,981154.119991456,361300.0,348500.0,127.339,2.024,1.2931805886434128e-08
5171.0,358709.968623,348041.546793,131.0,981157.0691900922,358800.0,348000.0,131.218,2.034,9.654004527826193e-09
5172.0,360310.8929,350243.560867,131.01863205011978,981156.2387861416,360300.0,350250.0,128.528,2.022,9.709033688522545e-09
5173.0,363897.988457,352142.45386,132.0,981151.6282149196,363800.0,352000.0,131.972,2.004,9.78888654104998e-09
5174.0,367205.82867,351431.59951,127.0,981147.5849969542,367300.0,351500.0,126.85,1.995,1.3107325992418497e-08
5175.0,368956.328451,351353.234812,122.90612555200352,981145.9834171388,368800.0,351000.0,125.5,1.991,9.849724684444358e-09
5176.0,363857.251822,349531.131804,132.57072038245678,981150.4287641824,363800.0,349500.0,132.839,2.013,1.625204489403195e-08
5177.0,364246.837497,345318.44118599995,132.0,981148.5468034887,364300.0,345500.0,131.366,2.023,1.2929363754025424e-08
5178.0,362210.765667,346067.377127,131.3891831846122,981152.5194593456,362100.0,346100.0,131.491,2.029,1.289988711625173e-08
5179.0,365099.835761,346989.769522,129.0,981147.540215904,364800.0,347000.0,130.215,2.017,9.729933527592403e-09
5180.0,368085.087532,353982.983292,117.0,981149.7627364752,367800.0,354000.0,120.304,1.985,9.877523776589288e-09
5185.0,358202.81982399995,330135.7542910001,172.05316045290144,981139.7959840464,358800.0,330500.0,169.327,2.08,3.1287373164498655e-09
5193.0,363552.892319,331823.80205700005,147.0,981138.908401411,363800.0,332000.0,148.674,2.059,9.487109895053205e-09
