ID,Xp,Yp,Hp,g,X,Y,Hnorm,Z,TCR
4568.0,330663.593883,349627.403465,166.0,981139.6613340869,330300.0,348500.0,169.0,2.087,1.4557142226399416e-05
4569.0,328601.330216,341454.869867,180.9979586205961,981115.5010381326,328300.0,340500.0,197.462,2.114,1.2262211459999981e-05
4570.0,327961.413407,338213.491925,213.4319197847326,981107.129896408,327300.0,337500.0,213.773,2.121,1.0081236307157372e-05
4571.0,331071.28916,339223.768303,198.0,981115.0154882732,330300.0,338500.0,198.0,2.119,1.0969407952455138e-05
4572.0,332298.456329,338997.79254,185.8032243345006,981114.3085239247,331300.0,338500.0,197.0,2.119,1.8314220849729212e-05
4573.0,329438.88608,339216.720382,202.2818807448421,981110.8561080558,329300.0,338500.0,200.179,2.119,8.35091357399689e-06
4574.0,328743.870119,340238.785545,187.6169749080985,981113.0689810793,328300.0,339500.0,196.346,2.116,8.665147151176434e-06
4575.0,330023.850716,342478.789142,180.2397507590475,981119.7143527055,330300.0,341500.0,203.89,2.11,5.11457973385865e-06
4576.0,332665.122637,343858.994454,172.3283792876136,981127.5975489148,332300.0,343500.0,184.548,2.103,5.313100353443473e-06
4577.0,332288.815557,340369.862569,188.0,981117.9270092677,332300.0,339500.0,201.774,2.116,8.380695346915515e-06
4578.0,333173.335383,343600.568839,188.7834997316514,981127.8300651979,333300.0,342500.0,194.177,2.105,9.495828404015862e-06
4579.0,335964.146759,343936.24549,176.1306066554515,981133.2233662216,335300.0,343500.0,184.808,2.1,8.083469163109616e-06
4580.0,334489.936101,342699.590098,190.0,981127.4978489227,334300.0,342500.0,193.0,2.104,2.8590333616620497e-06
4581.0,332720.115835,345929.75674,161.0,981133.0418494055,332300.0,345500.0,161.0,2.096,6.240792713463921e-06
4582.0,332583.2039279999,348454.863058,166.3924343102226,981140.3204619922,332300.0,347500.0,181.393,2.09,1.2092808803472271e-05
4583.0,331598.713863,348619.764278,173.8885777952673,981139.2080843356,331300.0,347500.0,189.0,2.091,1.3848409690428497e-05
4584.0,330734.673659,348561.0969,167.4816886879416,981138.0666035989,330300.0,347500.0,173.166,2.091,1.4612243116283327e-05
4585.0,330804.541711,349734.790732,165.1906746257118,981140.0398526567,330300.0,349500.0,165.0,2.084,5.4428372237769645e-06
4586.0,326968.23432,346324.391319,183.0,981125.4880016975,326300.0,345500.0,191.793,2.097,1.0945393378967178e-05
4587.0,327225.08732,350707.96478,169.0,981137.4575289565,326300.0,350500.0,176.68,2.081,8.358831884737133e-06
4588.0,337199.88251,332174.384629,302.0,981102.6451846035,336300.0,331500.0,287.234,2.13,1.5394174321533603e-05
4590.0,339260.123325,331947.860057,490.9885673023572,981108.3886542799,338300.0,331500.0,450.946,2.128,1.7192270842208603e-05
4591.0,342590.388097,334120.002718,216.8908301861102,981125.5518505386,342300.0,333500.0,254.123,2.117,6.680236729749451e-06
4592.0,338786.298241,332712.414293,546.1253063802287,981101.2566287804,338300.0,332500.0,485.268,2.126,5.140124035745046e-06
4593.0,343589.631743,332062.066008,255.2569936170676,981134.4574398362,343300.0,331500.0,228.801,2.12,6.267343838655919e-06
4594.0,347108.284765,336760.028952,175.9941561272771,981152.6411094556,346300.0,336500.0,159.633,2.102,7.841052022620871e-06
4595.0,345468.463514,331784.126015,209.6380027992127,981143.2421940349,345300.0,331500.0,211.0,2.116,3.3265712981922963e-06
4596.0,349388.440172,338073.98575,150.7783227394357,981153.9426030053,349300.0,337500.0,150.0,2.092,3.25522110505453e-06
4597.0,347125.3050110001,330136.157306,188.8747903050753,981144.4651051373,346300.0,330500.0,176.192,2.116,1.1247941042467945e-06
4598.0,344138.794706,331032.179794,203.0721900748603,981137.3655445495,343300.0,330500.0,211.349,2.122,1.0052052325551538e-05
4599.0,346712.511054,334198.805209,167.0,981149.5716951258,346300.0,333500.0,167.745,2.109,8.171152037058277e-06
4600.0,350112.51612,331533.326088,155.0,981147.2896138942,349300.0,331500.0,171.275,2.106,-1.8225044692612558e-08
4601.0,344799.237741,331565.687295,217.5253340469098,981140.8699218,344300.0,330500.0,198.0,2.12,1.9172840338095078e-05
4602.0,342389.455031,335142.930497,205.0,981123.7397579347,342300.0,334500.0,208.975,2.115,7.1831682025856925e-06
4603.0,349191.185492,337548.102795,150.0,981153.6852986517,349300.0,336500.0,150.189,2.095,6.93644815179202e-06
4604.0,347293.492089,334294.081833,159.0,981148.9332612772,347300.0,333500.0,179.62,2.106,5.804819766216417e-06
4605.0,348100.655955,335757.714709,160.0,981153.0072025441,347300.0,335500.0,165.257,2.102,7.759609190286584e-06
4606.0,349535.686386,332750.597233,157.0,981148.739745543,349300.0,332500.0,162.0,2.104,1.186863373600052e-06
4607.0,347374.728242,330331.246512,182.1391095230792,981144.0510135008,346300.0,330500.0,176.192,2.116,6.606046055754013e-06
4608.0,345142.789953,330854.110504,192.0,981141.1625258587,344300.0,330500.0,198.0,2.12,8.76898391893563e-06
4609.0,345304.932604,330862.720344,189.6534245587209,981141.9016226913,344300.0,330500.0,198.0,2.12,1.6700847144851907e-05
4610.0,349108.595101,336498.770384,149.920137935564,981152.9036507659,349300.0,335500.0,154.598,2.097,5.968673922563653e-06
4611.0,349229.850407,339015.642928,154.6133636617196,981153.9205197872,348300.0,338500.0,150.815,2.093,1.0616838034888254e-05
4612.0,346832.979275,338494.422625,151.0,981152.2705789439,346300.0,337500.0,185.765,2.1,1.8731601909228372e-05
